repeat_index,page_index,start_offset_bytes,update_count,first_touch_update,last_touch_update
0,109,228589568,1312553,451,1342177167
0,110,230686720,1306000,23327,1342172992
0,111,232783872,1307170,5904,1342173811
0,112,234881024,1310133,79,1342174321
0,113,236978176,1311608,3607,1342176714
0,114,239075328,1310026,12858,1342176690
0,115,241172480,1305123,11625,1342174651
0,116,243269632,1307429,6844,1342171665
0,117,245366784,1305933,12174,1342176927
0,118,247463936,1318018,6279,1342175838
0,119,249561088,1309954,327,1342176646
0,120,251658240,1308752,7459,1342175566
0,121,253755392,1310647,2435,1342176305
0,122,255852544,1305328,11612,1342176953
0,123,257949696,1309532,15209,1342177148
0,124,260046848,1303438,11641,1342171702
0,125,262144000,1308231,11884,1342176598
0,126,264241152,1311771,2187,1342176352
0,127,266338304,1310605,10371,1342176869
0,128,268435456,1324147,18,1342177266
0,129,270532608,1308874,3393,1342176217
0,130,272629760,1309818,8202,1342176238
0,131,274726912,1314077,1810,1342175888
0,132,276824064,1313343,2625,1342174177
0,133,278921216,1307180,2897,1342174189
0,134,281018368,1308488,7087,1342174137
0,135,283115520,1309194,19048,1342172775
0,136,285212672,1329859,266,1342177262
0,137,287309824,1306119,7658,1342175481
0,138,289406976,1312358,396,1342174506
0,139,291504128,1311519,3750,1342177274
0,140,293601280,1305796,4365,1342176312
0,141,295698432,1306416,5901,1342176971
0,142,297795584,1307210,15730,1342176924
0,143,299892736,1305823,11881,1342176866
0,144,301989888,1316051,2126,1342175407
0,145,304087040,1307192,4358,1342176968
0,146,306184192,1318383,10310,1342176745
0,147,308281344,1308265,10955,1342173646
0,148,310378496,1305783,7845,1342176340
0,149,312475648,1306201,11998,1342176748
0,150,314572800,1309562,10313,1342176769
0,151,316669952,1308100,11075,1342176724
0,152,318767104,1308986,3917,1342176677
0,153,320864256,1311926,2374,1342175222
0,154,322961408,1323388,6534,1342176451
0,155,325058560,1316657,7638,1342176499
0,156,327155712,1306635,15387,1342176995
0,157,329252864,1303335,12363,1342176983
0,158,331350016,1309997,5483,1342175756
0,159,333447168,1310004,4491,1342175243
0,160,335544320,1313389,400,1342174630
0,161,337641472,1313228,6342,1342172009
0,162,339738624,1320124,390,1342177125
0,163,341835776,1308569,7848,1342177143
0,164,343932928,1304374,11484,1342176586
0,165,346030080,1307080,11117,1342177071
0,166,348127232,1311129,6907,1342176668
